Approved symbol,UniProt ID(supplied by UniProt),NCBI Gene ID(supplied by NCBI)
ZBTB46,Q86UZ6,140685
CASZ1,Q86V15,54897
SHLD2,Q86V20,54537
AACS,Q86V21,65985
ADIPOR2,Q86V24,79602
VASH2,Q86V25,79805
CABP7,Q86V35,164633
TRABD2A,Q86V40,129293
FAM124A,Q86V42,220108
LUZP1,Q86V48,7798
PNMA8A,Q86V59,55228
ZNF429,Q86V71,353088
ALYREF,Q86V81,10189
GPR180,Q86V85,160897
PIM3,Q86V86,415116
FHIP2B,Q86V87,64760
MDP1,Q86V88,145553
KBTBD6,Q86V97,89890
CD163,Q86VB7,9332
MORC1,Q86VD1,27136
SLC25A42,Q86VD7,284439
PIGZ,Q86VD9,80235
MYPOP,Q86VE0,339344
SATL1,Q86VE3,340562
SERINC5,Q86VE9,256987
IGFN1,Q86VF2,91156
MOGAT3,Q86VF5,346606
NRAP,Q86VF7,4892
IFTAP,Q86VG3,119710
KIF27,Q86VH2,55582
LRRTM4,Q86VH4,80059
LRRTM3,Q86VH5,347731
EXOC3L1,Q86VI1,283849
IQGAP3,Q86VI3,128239
LAPTM4B,Q86VI4,55353
ZNF410,Q86VK4,57862
SLC47A2,Q86VL8,146802
ZC3H18,Q86VM9,124245
VPS36,Q86VN1,51028
TAX1BP1,Q86VP1,8887
PACS2,Q86VP3,23241
CAND1,Q86VP6,55832
LCA5,Q86VQ0,167691
GLCCI1,Q86VQ1,113263
TXNDC2,Q86VQ3,84203
TXNRD3,Q86VQ6,114112
RETREG3,Q86VR2,162427
VSIG10L,Q86VR7,147645
FJX1,Q86VR8,24147
IQCH,Q86VS3,64799
HOOK3,Q86VS8,84376
COMTD1,Q86VU5,118881
RANBP3L,Q86VV4,202151
RTTN,Q86VV8,25914
SESTD1,Q86VW0,91404
SLC22A16,Q86VW1,85413
ARHGEF25,Q86VW2,115557
COMMD7,Q86VX2,149951
MON1A,Q86VX9,84315
TSPYL5,Q86VY4,85453
TMEM200A,Q86VY9,114801
P2RY8,Q86VZ1,286530
WDR5B,Q86VZ2,54554
LRP11,Q86VZ4,84918
SGMS1,Q86VZ5,259230
JAZF1,Q86VZ6,221895
CYP4Z1,Q86W10,199974
ZSCAN30,Q86W11,100101467
NLRP14,Q86W24,338323
NLRP13,Q86W25,126204
NLRP10,Q86W26,338322
NLRP8,Q86W28,126205
TPRA1,Q86W33,131601
AMZ2,Q86W34,51321
THOC6,Q86W42,79228
KCNMB4,Q86W47,27345
METTL16,Q86W50,79066
SPATA24,Q86W54,202051
PARG,Q86W56,8505
FAM228A,Q86W67,653140
ANKRD46,Q86W74,157567
PPFIBP1,Q86W92,8496
BPHL,Q86WA6,670
LONP2,Q86WA8,83752
SLC26A11,Q86WA9,284129
ZC3HC1,Q86WB0,51530
UNC93A,Q86WB7,54346
OSTM1,Q86WC4,28962
PPP1R27,Q86WC6,116729
SERPINA9,Q86WD7,327657
ATCAY,Q86WG3,85300
SBF2,Q86WG5,81846
RASSF3,Q86WH2,283349
LHFPL1,Q86WI0,340596
PKHD1L1,Q86WI1,93035
NLRC5,Q86WI3,84166
CHD1L,Q86WJ1,9557
AMIGO1,Q86WK6,57463
AMIGO3,Q86WK7,386724
PAQR7,Q86WK9,164091
FCHSD1,Q86WN1,89848
IFNE,Q86WN2,338376
GPBP1,Q86WP2,65056
NR2C2AP,Q86WQ0,126382
CCDC25,Q86WR0,55246
C17orf64,Q86WR6,124773
PROSER2,Q86WR7,254427
OOSP2,Q86WS3,219990
C12orf40,Q86WS4,283461
TMPRSS12,Q86WS5,283471
TTC30A,Q86WT1,92104
TRIM69,Q86WT6,140691
LDHD,Q86WU2,197257
SKAP1,Q86WV1,8631
TEN1,Q86WV5,100134934
STING1,Q86WV6,340061
COA5,Q86WW8,493753
RPS19BP1,Q86WX3,91582
HEATR4,Q86WZ0,399671
ZNF227,Q86WZ6,7770
CDR2L,Q86X02,30850
RALGAPB,Q86X10,57148
TMEM17,Q86X19,200728
HORMAD1,Q86X24,84072
RALGPS2,Q86X27,55103
LSR,Q86X29,51599
LRRC28,Q86X40,123355
DNAAF11,Q86X45,23639
EZHIP,Q86X51,340602
CHSY1,Q86X52,22856
ERICH1,Q86X53,157697
CARM1,Q86X55,10498
LINC02875,Q86X59,388407
FAM72B,Q86X60,653820
NUDT13,Q86X67,25961
NIT1,Q86X76,4817
COMMD2,Q86X83,51122
CIR1,Q86X95,9541
METTL23,Q86XA0,124512
HEATR5A,Q86XA9,25938
FAM131B,Q86XD5,9715
ZFAND4,Q86XD8,93550
SNX32,Q86XE0,254122
MICU3,Q86XE3,286097
HOGA1,Q86XE5,112817
DHFR2,Q86XF0,200895
ZNF575,Q86XF7,284346
NBPF5P,Q86XG9,100507044
IQCA1,Q86XH1,79781
NCAPG2,Q86XI2,54892
PPP1R3B,Q86XI6,79660
ZSWIM9,Q86XI8,374920
CALHM3,Q86XJ0,119395
GAS2L3,Q86XJ1,283431
FBXO11,Q86XK2,80204
SFR1,Q86XK3,119392
VSIG1,Q86XK7,340547
ANKLE2,Q86XL3,23141
CATSPERD,Q86XM0,257062
ZNF761,Q86XN6,388561
PROSER1,Q86XN7,80209
MEX3D,Q86XN8,399664
PLA2G4D,Q86XP0,283748
DGKH,Q86XP1,160851
DDX42,Q86XP3,11325
GKN2,Q86XP6,200504
CATSPER3,Q86XQ3,347732
NIBAN3,Q86XR2,199786
PRIMA1,Q86XR5,145270
TICAM2,Q86XR7,353376
CEP57,Q86XR8,9702
ANGPTL5,Q86XS5,253935
RNF130,Q86XS8,55819
VPS37D,Q86XT2,155382
TRIM50,Q86XT4,135892
TMEM219,Q86XT9,124446
ZNF677,Q86XU0,342926
NME9,Q86XW9,347736
FRAS1,Q86XX4,80144
SPATS2,Q86XZ4,65244
DTX1,Q86Y01,1840
VRK2,Q86Y07,7444
DZIP3,Q86Y13,9666
COL23A1,Q86Y22,91522
ZNF354C,Q86Y25,30832
NUTM1,Q86Y26,256646
BAGE5,Q86Y27,85316
BAGE4,Q86Y28,85317
BAGE3,Q86Y29,85318
BAGE2,Q86Y30,85319
CDC20B,Q86Y33,166979
ADGRG3,Q86Y34,222487
CACUL1,Q86Y37,143384
XYLT1,Q86Y38,64131
NDUFA11,Q86Y39,126328
KRT73,Q86Y46,319101
DNAAF5,Q86Y56,54919
LYPD6,Q86Y78,130574
PTRH1,Q86Y79,138428
STX12,Q86Y82,23673
KIF18B,Q86Y91,146909
KMT5C,Q86Y97,84787
ZGRF1,Q86YA3,55345
ECHDC2,Q86YB7,55268
ERO1B,Q86YB8,56605
PALB2,Q86YC2,79728
NRROS,Q86YC3,375387
PTOV1,Q86YD1,53635
TMEM25,Q86YD3,84866
LDLRAD3,Q86YD5,143458
FAM90A1,Q86YD7,55138
ZNF573,Q86YE8,126231
DZIP1,Q86YF9,22873
NT5DC4,Q86YG4,284958
ZNF280B,Q86YH2,140883
PDSS2,Q86YH6,57107
PHF13,Q86YI8,148479
MARCHF9,Q86YJ5,92979
THNSL2,Q86YJ6,55258
ANKRD13B,Q86YJ7,124930
TDRP,Q86YL5,157695
PDPN,Q86YL7,10630
HOMER1,Q86YM7,9456
DOLPP1,Q86YN1,57171
PPARGC1B,Q86YN6,133522
GATAD2A,Q86YP4,54815
BPIFA4P,Q86YQ2,317716
CPNE8,Q86YQ8,144402
GPSM1,Q86YR5,26086
POTED,Q86YR6,317754
MCF2L2,Q86YR7,23101
RAB11FIP4,Q86YS3,84440
RAB43,Q86YS6,339122
C2CD5,Q86YS7,9847
SLC13A5,Q86YT5,284111
MIB1,Q86YT6,57534
JAML,Q86YT9,120425
RASAL3,Q86YV0,64926
PRAG1,Q86YV5,157285
MYLK4,Q86YV6,340156
HPS6,Q86YV9,79803
PLCZ1,Q86YW0,89869
TREML1,Q86YW5,340205
GPHB5,Q86YW7,122876
MED12L,Q86YW9,116931
HRNR,Q86YZ3,388697
HIPK1,Q86Z02,204851
KLB,Q86Z14,152831
CCDC125,Q86Z20,202243
C1QL4,Q86Z23,338761
RFX6,Q8HWS3,222546
IFNL1,Q8IU54,282618
IFNLR1,Q8IU57,163702
DCP2,Q8IU60,167227
TMC8,Q8IU68,147138
TMPRSS6,Q8IU80,164656
IRF2BP1,Q8IU81,26145
CAMK1D,Q8IU85,57118
CERS3,Q8IU89,204219
CALHM1,Q8IU99,255022
WFDC8,Q8IUA0,90199
ABCA9,Q8IUA7,10350
WFDC3,Q8IUB2,140686
WFDC10B,Q8IUB3,280664
WFDC13,Q8IUB5,164237
KRTAP19-1,Q8IUB9,337882
KRTAP13-1,Q8IUC0,140258
KRTAP11-1,Q8IUC1,337880
KRTAP8-1,Q8IUC2,337879
KRTAP7-1,Q8IUC3,337878
RHPN2,Q8IUC4,85415
TICAM1,Q8IUC6,148022
GALNT13,Q8IUC8,114805
ERC1,Q8IUD2,23085
RNF135,Q8IUD6,84282
TGIF2LY,Q8IUE0,90655
TGIF2LX,Q8IUE1,90316
H2AC21,Q8IUE6,317772
CBWD2,Q8IUF1,150472
RIOX2,Q8IUF8,84864
KRTAP1-3,Q8IUG1,81850
MYO18B,Q8IUG5,84700
CREG2,Q8IUH2,200407
RBM45,Q8IUH3,129831
ZDHHC13,Q8IUH4,54503
ZDHHC17,Q8IUH5,23390
SPPL2C,Q8IUH8,162540
SNX29P2,Q8IUI4,440352
CRLF3,Q8IUI8,51379
PLXDC1,Q8IUK5,57125
CBLN2,Q8IUK8,147381
CILP2,Q8IUL8,148113
NPAS4,Q8IUM7,266743
CLEC10A,Q8IUN9,10462
CLVS1,Q8IUQ0,157807
SIAH1,Q8IUQ4,6477
TRAPPC5,Q8IUR0,126003
TMTC1,Q8IUR5,83857
CREBRF,Q8IUR6,153222
ARMC8,Q8IUR7,25852
EPHX4,Q8IUS5,253152
SPATA2L,Q8IUW3,124044
RELL1,Q8IUW5,768211
TMEM126B,Q8IUX1,55863
APOBEC3F,Q8IUX4,200316
AEBP1,Q8IUX7,165
EGFL6,Q8IUX8,25975
GRAMD2A,Q8IUY3,196996
LRRC49,Q8IUZ0,54839
PHYKPL,Q8IUZ5,85007
SYT12,Q8IV01,91683
LURAP1L,Q8IV03,286343
TBC1D10C,Q8IV04,374403
PLD3,Q8IV08,23646
CCNJL,Q8IV13,79616
GPIHBP1,Q8IV16,338328
LACC1,Q8IV20,144811
TMEM139,Q8IV31,135932
CCDC71,Q8IV32,64925
KIAA0825,Q8IV33,285600
WDR49,Q8IV35,151790
HID1,Q8IV36,283987
ANKMY2,Q8IV38,57037
PSTK,Q8IV42,118672
UNC5CL,Q8IV45,222643
ERI1,Q8IV48,90459
LYSMD2,Q8IV50,256586
DENND1C,Q8IV53,79958
PRR15,Q8IV56,222171
RASGRP3,Q8IV61,25780
VRK3,Q8IV63,51231
PASD1,Q8IV76,139135
CNGA4,Q8IV77,1262
PCP2,Q8IVA1,126006
SLC9A9,Q8IVB4,285195
LIX1L,Q8IVB5,128077
ZNF584,Q8IVC4,201514
NUDCD3,Q8IVD9,23386
CROCCP3,Q8IVE0,114819
PLEKHH2,Q8IVE3,130271
NUTM2A,Q8IVF1,728118
AHNAK2,Q8IVF2,113146
DNAH10,Q8IVF4,196385
TIAM2,Q8IVF5,26230
ANKRD18A,Q8IVF6,253650
FMNL3,Q8IVF7,91010
SAMD9L,Q8IVG5,219285
MT-RNR2,Q8IVG9,4550
FOXP4,Q8IVH2,116113
MMAA,Q8IVH4,166785
MAP4K3,Q8IVH8,8491
NOSTRIN,Q8IVI9,115677
SLC41A1,Q8IVJ1,254428
APRG1,Q8IVJ8,339883
GLYCAM1,Q8IVK1,644076
NAV3,Q8IVL0,89795
NAV2,Q8IVL1,89797
P3H2,Q8IVL5,55214
P3H3,Q8IVL6,10536
CPO,Q8IVL8,130749
CCDC50,Q8IVM0,152137
SLC22A9,Q8IVM8,114571
MUSTN1,Q8IVN3,389125
SBSPON,Q8IVN8,157869
FUNDC1,Q8IVP5,139341
ZNF547,Q8IVP9,284306
ZDHHC21,Q8IVQ6,340481
MCAT,Q8IVS2,27349
GLYCTK,Q8IVS8,132158
MISP,Q8IVT2,126353
KSR1,Q8IVT5,8844
IGDCC3,Q8IVU1,9543
HERC6,Q8IVU3,55008
CABCOCO1,Q8IVU9,219621
LOXHD1,Q8IVV2,125336
GID4,Q8IVV7,79018
NKAIN4,Q8IVV8,128414
ARL17A,Q8IVW1,51326
ARL17B,Q8IVW1,100506084
CDKL3,Q8IVW4,51265
ARID3B,Q8IVW6,10620
SPNS2,Q8IVW8,124976
C1orf210,Q8IVY1,149466
VSTM4,Q8IW00,196740
SIAH3,Q8IW03,283514
APLF,Q8IW19,200558
CEP97,Q8IW35,79598
ZNF695,Q8IW36,57116
CCDC103,Q8IW40,388389
MAPKAPK5,Q8IW41,8550
NAXD,Q8IW45,55739
FAM219A,Q8IW50,203259
SLITRK4,Q8IW52,139065
TMEM151B,Q8IW70,441151
SERPINA12,Q8IW75,145264
GLB1L2,Q8IW92,89944
ARHGEF19,Q8IW93,128272
WDR75,Q8IWA0,84128
MFN1,Q8IWA4,55669
SLC44A2,Q8IWA5,57153
CCDC60,Q8IWA6,160777
ITPRIP,Q8IWB1,85450
SPATA31A7,Q8IWB4,26165
TEX14,Q8IWB6,56155
WDFY1,Q8IWB7,57590
TEX2,Q8IWB9,55852
MAP7D3,Q8IWC1,79649
CCDC117,Q8IWD4,150275
MFSD6L,Q8IWD5,162387
FAM114A1,Q8IWE2,92689
DCUN1D3,Q8IWE4,123879
PLEKHM2,Q8IWE5,23207
FOXRED2,Q8IWF2,80020
DENND6A,Q8IWF6,201627
UBE2DNL,Q8IWF7,100131816
CCDC83,Q8IWF9,220047
DNAI3,Q8IWG1,126820
MGA,Q8IWI9,23269
GCC2,Q8IWJ2,9648
ADGRA3,Q8IWK6,166647
SFTPA2,Q8IWL1,729238
SFTPA1,Q8IWL2,653509
HSCB,Q8IWL3,150274
STH,Q8IWL8,246744
FAM223A,Q8IWN6,100132967
RP1L1,Q8IWN7,94137
CCDC28A,Q8IWP9,25901
BRSK2,Q8IWQ3,9024
ZC3H7A,Q8IWR0,29066
TRIM59,Q8IWR1,286827
PHF6,Q8IWS0,84295
ZBTB8OS,Q8IWT0,339487
SCN4B,Q8IWT1,6330
CUL9,Q8IWT3,23113
LRRC8A,Q8IWT6,56262
LMTK2,Q8IWU2,22853
SLC30A8,Q8IWU4,169026
SULF2,Q8IWU5,55959
SULF1,Q8IWU6,23213
TPH2,Q8IWU9,121278
LAX1,Q8IWV1,54900
CNTN4,Q8IWV2,152330
UBR1,Q8IWV7,197131
UBR2,Q8IWV8,23304
ARHGAP12,Q8IWW6,94134
ADHFE1,Q8IWW8,137872
SGPP2,Q8IWX5,130367
UNC45B,Q8IWX7,146862
CHERP,Q8IWX8,10523
SCUBE1,Q8IWY4,80274
ZSCAN29,Q8IWY8,146050
CDAN1,Q8IWY9,146059
ANKHD1,Q8IWZ3,54882
TRIM48,Q8IWZ4,79097
TRIM42,Q8IWZ5,287015
BBS7,Q8IWZ6,55212
SUGP1,Q8IWZ8,57794
SUGP2,Q8IX01,10147
WWC1,Q8IX03,23286
UEVLD,Q8IX04,55293
CD302,Q8IX05,9936
REXO1L1P,Q8IX06,254958
ZFPM1,Q8IX07,161882
CCAR1,Q8IX12,55749
HOMEZ,Q8IX15,57594
DHX40,Q8IX18,79665
MCEMP1,Q8IX19,199675
SLF2,Q8IX21,55719
FBXO16,Q8IX29,157574
SCUBE3,Q8IX30,222663
SKA3,Q8IX90,221150
CTAGE4,Q8IX94,100128553
CTAGE3P,Q8IX95,220112
SPACA3,Q8IXA5,124912
DNAJC10,Q8IXB1,54431
TRARG1,Q8IXB3,286753
OR4N5,Q8IXE1,390437
NPAS3,Q8IXF0,64067
AQP12A,Q8IXF9,375318
TP53INP2,Q8IXH6,58476
NELFCD,Q8IXH7,51497
CDH26,Q8IXH8,60437
RHOT2,Q8IXI1,89941
RHOT1,Q8IXI2,55288
SIRT2,Q8IXJ6,22933
ASXL1,Q8IXJ9,171023
PHC2,Q8IXK0,1912
GALNT12,Q8IXK2,79695
FAM20C,Q8IXL6,56975
MSRB3,Q8IXL7,253827
IQCF2,Q8IXL9,389123
C17orf49,Q8IXM2,124944
MRPL41,Q8IXM3,64975
NRM,Q8IXM6,11270
ODF3L1,Q8IXM7,161753
RIMKLA,Q8IXN7,284716
C11orf53,Q8IXP5,341032
C9orf40,Q8IXQ3,55071
GPALPP1,Q8IXQ4,55425
KLHL7,Q8IXQ5,55975
PARP9,Q8IXQ6,83666
PDZD9,Q8IXQ8,255762
ETFBKMT,Q8IXQ9,254013
FAM178B,Q8IXR5,51252
C12orf56,Q8IXR9,115749
FAM217A,Q8IXS0,222826
CCDC65,Q8IXS2,85478
PALM2,Q8IXS6,
FAM126B,Q8IXS8,285172
DDIAS,Q8IXT1,220042
DMRTC2,Q8IXT2,63946
RBM12B,Q8IXT5,389677
SLC35F2,Q8IXU6,54733
KLHDC8B,Q8IXV7,200942
LMNTD2,Q8IXW0,256329
RPAP2,Q8IXW5,79871
TMEM183A,Q8IXX5,92703
PPIL6,Q8IXY8,285755
ZC3H3,Q8IXZ2,23144
SP8,Q8IXZ3,221833
PNPLA6,Q8IY17,10908
SMC5,Q8IY18,23137
DDX60,Q8IY21,55601
CMIP,Q8IY22,80790
PLPP6,Q8IY26,403313
IFT20,Q8IY31,90410
MICALL2,Q8IY33,79778
SLC15A3,Q8IY34,51296
DHX37,Q8IY37,57647
C4orf19,Q8IY42,55286
AMN1,Q8IY45,196394
KBTBD2,Q8IY47,25948
MMD2,Q8IY49,221938
SLC35F3,Q8IY50,148641
TIGD4,Q8IY51,201798
YAF2,Q8IY57,10138
AMOTL1,Q8IY63,154810
RAVER1,Q8IY67,125950
FTSJ3,Q8IY81,117246
DRC7,Q8IY82,84229
NIM1K,Q8IY84,167359
EFCAB13,Q8IY85,124989
SLX4,Q8IY92,84464
TMEM192,Q8IY95,201931
CCDC144CP,Q8IYA2,348254
CKAP2L,Q8IYA6,150468
MKX,Q8IYA7,283078
IHO1,Q8IYA8,339834
MB21D2,Q8IYB1,151963
SRRM1,Q8IYB3,10250
PEX5L,Q8IYB4,51555
SMAP1,Q8IYB5,60682
DIS3L2,Q8IYB7,129563
SUPV3L1,Q8IYB8,6832
ZNF595,Q8IYB9,152687
GSPT2,Q8IYD1,23708
KLHDC8A,Q8IYD2,55220
FANCM,Q8IYD8,57697
C18orf54,Q8IYD9,162681
CCDC146,Q8IYE0,57639
CCDC13,Q8IYE1,152206
ELOA2,Q8IYF1,51224
TEX11,Q8IYF3,56159
LRRC56,Q8IYG6,115399
ZZZ3,Q8IYH5,26009
SHLD1,Q8IYI0,149840
EXOC8,Q8IYI6,149371
ZNF440,Q8IYI8,126070
PIANP,Q8IYJ0,196500
CPNE9,Q8IYJ1,151835
C10orf67,Q8IYJ2,256815
SYTL1,Q8IYJ3,84958
CCDC105,Q8IYK2,126402
COLGALT2,Q8IYK4,23127
REM2,Q8IYK8,161253
TRMT44,Q8IYL2,152992
C1orf174,Q8IYL3,339448
GPR65,Q8IYL9,8477
FAM186B,Q8IYM0,84070
SEPTIN12,Q8IYM1,124404
SLFN12,Q8IYM2,55106
TRIM22,Q8IYM9,10346
ZNF100,Q8IYN0,163227
TCEAL8,Q8IYN2,90843
UBALD2,Q8IYN6,283991
PRSS58,Q8IYP2,136541
ZDHHC23,Q8IYP9,254887
THNSL1,Q8IYQ7,79896
CFAP206,Q8IYR0,154313
SMYD4,Q8IYR2,114826
TMEFF1,Q8IYR6,8577
GRAMD1C,Q8IYS0,54762
PM20D2,Q8IYS1,135293
KIAA2013,Q8IYS2,90231
DNAAF8,Q8IYS4,146562
OSCAR,Q8IYS5,126014
BOD1L2,Q8IYS8,284257
GARIN4,Q8IYT1,149647
CMTR2,Q8IYT2,55783
CCDC170,Q8IYT3,80129
KATNAL2,Q8IYT4,83473
ULK2,Q8IYT8,9706
HACE1,Q8IYU2,57531
UBQLNL,Q8IYU4,143630
MICU2,Q8IYU8,221154
IZUMO1,Q8IYV9,284359
CFAP46,Q8IYW2,54777
ENTHD1,Q8IYW4,150350
RNF168,Q8IYW5,165918
ZNF679,Q8IYX0,168417
TBC1D21,Q8IYX1,161514
CCDC116,Q8IYX3,164592
DND1,Q8IYX4,373863
SAXO1,Q8IYX7,158297
CEP57L1,Q8IYX8,285753
DZIP1L,Q8IYY4,199221
LRRC34,Q8IZ02,151827
ANKRD13A,Q8IZ07,88455
GPR135,Q8IZ08,64582
ZBED8,Q8IZ13,63920
SPACDR,Q8IZ16,402573
ZNF683,Q8IZ20,257101
PHACTR4,Q8IZ21,65979
ZNF34,Q8IZ26,80778
RCOR2,Q8IZ40,283248
RASEF,Q8IZ41,158158
CHPF,Q8IZ52,79586
NRSN1,Q8IZ57,140767
PRR22,Q8IZ63,163154
TRMT2A,Q8IZ69,27037
RPUSD2,Q8IZ73,27079
ELMOD2,Q8IZ81,255520
ALDH16A1,Q8IZ83,126133
CMTM1,Q8IZ96,113540
KIAA0319L,Q8IZA0,79932
H1-8,Q8IZA3,132243
RTKN2,Q8IZC4,219790
COL27A1,Q8IZC6,85301
ZNF101,Q8IZC7,94039
SAMD14,Q8IZD0,201191
KMT2E,Q8IZD2,55904
DCP1B,Q8IZD4,196513
SLC22A15,Q8IZD6,55356
DOCK3,Q8IZD9,1795
SCYL3,Q8IZE3,57147
NALCN,Q8IZF0,259232
ADGRF5,Q8IZF2,221395
ADGRF4,Q8IZF3,221393
ADGRG5,Q8IZF4,221188
ADGRF3,Q8IZF5,165082
ADGRG4,Q8IZF6,139378
ADGRF2,Q8IZF7,222611
XRN1,Q8IZH2,54464
IFNL3,Q8IZI9,282617
IFNL2,Q8IZJ0,282616
UNC5B,Q8IZJ1,219699
CPAMD8,Q8IZJ3,27151
RGL4,Q8IZJ4,266747
TDH,Q8IZJ6,157739
MCOLN2,Q8IZK6,255231
MAML2,Q8IZL2,84441
PELP1,Q8IZL8,27043
CDK20,Q8IZL9,23552
ZNF654,Q8IZM8,55279
SLC38A6,Q8IZM9,145389
ZDHHC14,Q8IZN3,79683
DEFB107A,Q8IZN7,245910
DEFB107B,Q8IZN7,503614
ABI1,Q8IZP0,10006
TBC1D3,Q8IZP1,729873
ST13P4,Q8IZP2,145165
RNF113B,Q8IZP6,140432
HS6ST3,Q8IZP7,266722
ADGRG2,Q8IZP9,10149
WDFY3,Q8IZQ1,23001
SELENOH,Q8IZQ5,280636
MYOCD,Q8IZQ8,93649
CMTM4,Q8IZR5,146223
OFCC1,Q8IZS5,266553
DYNLT2,Q8IZS6,6991
CLECL1,Q8IZS7,160365
CACNA2D3,Q8IZS8,55799
ASPM,Q8IZT6,259266
HS3ST5,Q8IZT8,222537
FAM9C,Q8IZT9,171484
FAM9B,Q8IZU0,171483
FAM9A,Q8IZU1,171482
WDR17,Q8IZU2,116966
SYCP3,Q8IZU3,50511
DSEL,Q8IZU8,92126
KIRREL3,Q8IZU9,84623
CMTM8,Q8IZV2,152189
RDH10,Q8IZV5,157506
TNS4,Q8IZW8,84951
TAF1L,Q8IZX4,138474
ABCA7,Q8IZY2,10347
BLID,Q8IZY5,414899
APCDD1,Q8J025,147495
SLC7A5P1,Q8MH63,81893
SYCE1,Q8N0S2,93426
CENPL,Q8N0S6,91687
RBIS,Q8N0T1,401466
TMEM61,Q8N0U2,199964
FAM185A,Q8N0U4,222234
LINC00518,Q8N0U6,221718
C1orf87,Q8N0U7,127795
VKORC1L1,Q8N0U8,154807
ZNF295-AS1,Q8N0V1,150142
RBFA,Q8N0V3,79863
LGI2,Q8N0V4,55203
GCNT2,Q8N0V5,2651
FCSK,Q8N0W3,197258
NLGN4X,Q8N0W4,57502
IQCK,Q8N0W5,124152
FMR1NB,Q8N0W7,158521
SPAG16,Q8N0X2,79582
CLYBL,Q8N0X4,171425
SPART,Q8N0X7,23111
ZNF444,Q8N0Y2,55311
OR4N4,Q8N0Y3,283694
OR8I2,Q8N0Y5,120586
PGAM4,Q8N0Y7,441531
ABRA,Q8N0Z2,137735
SPICE1,Q8N0Z3,152185
TTC5,Q8N0Z6,91875
PUSL1,Q8N0Z8,126789
VSIG10,Q8N0Z9,54621
ATOH7,Q8N100,220202
TAGAP,Q8N103,117289
DEFB106A,Q8N104,245909
DEFB106B,Q8N104,503841
MIER1,Q8N108,57708
KIR2DL5A,Q8N109,57292
CEND1,Q8N111,51286
LSMEM2,Q8N112,132228
SHISA5,Q8N114,51246
CYP4X1,Q8N118,260293
MMP21,Q8N119,118856
RPTOR,Q8N122,57521
CPXCR1,Q8N123,53336
CADM3,Q8N126,57863
OR5AS1,Q8N127,219447
FAM177A1,Q8N128,283635
CNPY4,Q8N129,245812
SLC34A3,Q8N130,142680
TMEM123,Q8N131,114908
LGI4,Q8N135,163175
DAW1,Q8N136,164781
CNTROB,Q8N137,116840
ORMDL3,Q8N138,94103
ABCA6,Q8N139,23460
EID3,Q8N140,493861
ZFP82,Q8N141,284406
ADSS1,Q8N142,122622
BCL6B,Q8N143,255877
GJD3,Q8N144,125111
LGI3,Q8N145,203190
OR8H3,Q8N146,390152
OR6V1,Q8N148,346517
LILRA2,Q8N149,11027
AHI1,Q8N157,54806
GPC2,Q8N158,221914
NAGS,Q8N159,162417
OR8H2,Q8N162,390151
CCAR2,Q8N163,57805
PDIK1L,Q8N165,149420
NDUFAF2,Q8N183,91942
ZNF567,Q8N184,163081
CARF,Q8N187,79800
SIX5,Q8N196,147912
KRT222,Q8N1A0,125113
C4orf33,Q8N1A6,132321
CCNQ,Q8N1B3,92002
VPS52,Q8N1B4,6293
GABRG1,Q8N1C3,2565
SLC22A18AS,Q8N1D0,5003
CFAP107,Q8N1D5,93190
LYG1,Q8N1E2,129530
FBXL14,Q8N1E6,144699
NUP93,Q8N1F7,9688
STK11IP,Q8N1F8,114790
ZNF687,Q8N1G0,57592
REXO1,Q8N1G1,57455
CMTR1,Q8N1G2,23070
LRRC47,Q8N1G4,57470
C14orf39,Q8N1H7,317761
DOCK4,Q8N1I0,9732
CACTIN-AS1,Q8N1I8,404665
THEMIS,Q8N1K5,387357
LINC00528,Q8N1L1,200298
CYP4Z2P,Q8N1L4,163720
BATF2,Q8N1L9,116071
BEST3,Q8N1M1,144453
CLEC4F,Q8N1N0,165530
DYNAP,Q8N1N2,284254
KRT78,Q8N1N4,196374
CRYBG2,Q8N1P7,55057
CA13,Q8N1Q1,377677
THEM5,Q8N1Q8,284486
SLC39A11,Q8N1S5,201266
MYO1H,Q8N1T3,283446
CFAP52,Q8N1V2,146845
LINC01561,Q8N1V8,404216
ARHGEF28,Q8N1W1,64283
ZNF710,Q8N1W2,374655
INTS1,Q8N201,26173
SYNE4,Q8N205,163183
SCML4,Q8N228,256380
KLHL34,Q8N239,257240
H2BU1,Q8N257,128312
ARHGAP24,Q8N264,83478
LINC02910,Q8N268,284756
PROM2,Q8N271,150696
ANKRD35,Q8N283,148741
GAPT,Q8N292,202309
LINC00269,Q8N2A0,100996279
PLD6,Q8N2A8,201164
DEPDC4,Q8N2C3,120863
UNC80,Q8N2C7,285175
UMODL1-AS1,Q8N2C9,150147
VWDE,Q8N2E2,221806
ARMC10,Q8N2F6,83787
LYPD1,Q8N2G4,116372
ZCCHC24,Q8N2G6,219654
GHDC,Q8N2G8,84514
PYROXD2,Q8N2H3,84795
SYS1,Q8N2H4,90196
PELI3,Q8N2H9,246330
ZNF619,Q8N2I2,285267
STK40,Q8N2I9,83931
ABHD12,Q8N2K0,26090
UBE2J2,Q8N2K1,118424
TMEM86A,Q8N2M4,144110
CLASRP,Q8N2M8,11129
ANKRD36B,Q8N2N9,57730
NLGN1,Q8N2Q7,22871
OSR2,Q8N2R0,116039
FAM43A,Q8N2R8,131583
