Approved symbol,UniProt ID(supplied by UniProt),NCBI Gene ID(supplied by NCBI)
MYMX,A0A1B0GTQ4,101929726
EDDM13,A0A1B0GTR0,100506374
CXorf51A,A0A1B0GTR3,100129239
SPRR5,A0A1B0GTR4,110806278
HSFX4,A0A1B0GTS1,101927685
ZC3H11B,A0A1B0GTU1,643136
CTXND1,A0A1B0GTU2,100996492
CIROP,A0A1B0GTW7,100128908
TEX50,A0A1B0GTY4,730159
CCDC196,A0A1B0GTZ2,440184
SMIM28,A0A1B0GU29,110806279
TEX53,A0A1B0GU33,105376230
CFAP97D2,A0A1B0GU71,101929355
SMIM32,A0A1B0GUA5,389332
CCDC195,A0A1B0GUA6,110806281
TEX51,A0A1B0GUA7,101929926
C13orf46,A0A1B0GUA9,100507747
MYOCOS,A0A1B0GUC4,110806290
BRD3OS,A0A1B0GUI7,266655
PNMA8C,A0A1B0GUJ8,110806277
FAM236A,A0A1B0GUQ0,100129407
C19orf85,A0A1B0GUS0,111064650
UBE2L5,A0A1B0GUS4,171222
C10orf143,A0A1B0GUT2,387723
C17orf113,A0A1B0GUU1,110806298
C17orf114,A0A1B0GUV1,119139905
TEX48,A0A1B0GUV7,100505478
SPEM3,A0A1B0GUW6,107983988
SMIM27,A0A1B0GUW7,100129250
ATP6V1FNB,A0A1B0GUX0,100130705
MARCOL,A0A1B0GUY1,105378220
GOLGA6L7,A0A1B0GV03,728310
FAM236B,A0A1B0GV22,100132304
REELD1,A0A1B0GV85,345051
CTXND2,A0A1B0GV90,100996521
FAM237B,A0A1B0GVD1,107986818
CCDC194,A0A1B0GVG4,110806280
TEX54,A0A1B0GVG6,111216277
PRSS51,A0A1B0GVH4,346702
C13orf42,A0A1B0GVH6,647166
IQCM,A0A1B0GVH7,285423
FAM240A,A0A1B0GVK7,100132146
ETDC,A0A1B0GVM5,110806299
C11orf97,A0A1B0GVM6,643037
C2orf92,A0A1B0GVN3,728537
SPAAR,A0A1B0GVQ0,158376
CCDC200,A0A1B0GVQ3,100874261
FAM240C,A0A1B0GVR7,285095
MDFIC2,A0A1B0GVS7,107986096
SMIM36,A0A1B0GVT2,101927367
SMIM35,A0A1B0GVV1,100526771
LITAFD,A0A1B0GVX0,101929989
SMIM31,A0A1B0GVY4,100505989
FAM240B,A0A1B0GVZ2,110806297
MBD3L2B,A0A1B0GVZ6,729458
TMEM269,A0A1B0GVZ9,100129924
EXOC1L,A0A1B0GW35,644145
SMIM39,A0A1B0GW54,113523639
SMIM33,A0A1B0GW64,111064649
PRRT1B,A0A1B0GWB2,642515
SERTM2,A0A1B0GWG4,401613
HSFX3,A0A1B0GWH4,101928917
PVALEF,A0A1B0GWK0,388428
TRBV7-6,A0A1B0GX31,28592
TRBV6-4,A0A1B0GX49,28603
TRBV7-8,A0A1B0GX51,28590
TRDV1,A0A1B0GX56,28518
TRBV2,A0A1B0GX68,28620
TRBV12-5,A0A1B0GX78,28575
TRBV7-4,A0A1B0GX95,28594
TRBV7-2,A0A1B0GXF2,28596
THSD8,A0A1W2PP97,111644133
DUXB,A0A1W2PPF3,100033411
GNG14,A0A1W2PPG7,105372280
CPHXL2,A0A1W2PPK0,112268164
CPHXL,A0A1W2PPM1,105371346
ERFL,A0A1W2PQ73,390937
ZNF722,A0A1W2PQL4,100419780
GSTT4,A0A1W2PR19,25774
TLE7,A0A1W2PR48,102723796
PERCC1,A0A1W2PR82,105371045
FOXL3,A0A1W2PRP0,116033993
PMIS2,A0A1W2PS18,111216276
SCYGR4,A0A286YEV6,112441430
SCYGR10,A0A286YEX9,112441436
SCYGR1,A0A286YEY9,112441428
SCYGR7,A0A286YF01,112441438
SMIM44,A0A286YF18,122152363
SCYGR5,A0A286YF46,112441437
TMEM271,A0A286YF58,112441426
SCYGR3,A0A286YF60,112441429
SCYGR6,A0A286YF77,112441431
SCYGR2,A0A286YFB4,112441435
SCYGR8,A0A286YFG1,112441432
SMIM38,A0A286YFK9,107984345
HNRNPA1L3,A0A2R8Y4L2,642659
OOSP4B,A0A2R8Y4Y8,107987155
H2BK1,A0A2R8Y619,114483833
TINCR,A0A2R8Y7D0,257000
SMIM41,A0A2R8YCJ5,113523638
OOSP4A,A0A2R8YFL7,112577462
OOSP3,A0A2R8YFM6,112577461
FOXO3B,A0A2Z4LIS9,2310
POLG,"A0A3B3IS91, P54098",5428
TRIM51G,A0A3B3IT33,120824
MSANTD5,A0A3B3IT52,102724657
H2AL3,A0A3B3IU63,115482686
LINC-PINT,A0A455ZAR2,378805
TMEM217B,A0A494BZU4,121725057
SPDYE21,A0A494C086,442572
FAM246B,A0A494C0N9,117134597
FAM246A,A0A494C0Y3,117134598
SPDYE13,A0A494C0Z2,105180390
SPDYE9,A0A494C191,643909
TSPY9,A0A494C1R9,728132
TRBV4-2,A0A539,28616
TRBV3-1,A0A576,28619
TRBV4-1,A0A577,28617
TRBV5-1,A0A578,28614
TRBV11-2,A0A584,28581
TRBV4-3,A0A589,28615
SMIM45,A0A590UK83,339674
TRBV5-5,A0A597,28610
TRBV5-6,A0A599,28609
TRBV5-8,A0A5A2,28607
TRBV11-3,A0A5A6,28580
TRBV14,A0A5B0,28573
TRBV28,A0A5B6,28559
TRBV29-1,A0A5B7,28558
TRBC2,A0A5B9,28638
SMIM42,A0A5F9ZH02,117981789
NFILZ,A0A5F9ZHS7,105372267
TUG1,A0A6I8PU40,55000
KANSL1L,A0AUZ9,151050
SLC12A8,A0AV02,84561
RBM47,A0AV96,54502
TTC26,A0AVF1,79989
FER1L5,A0AVI2,90342
TMEM129,A0AVI4,92305
E2F8,A0AVK6,79733
UBA6,A0AVT1,55236
ESYT2,A0FGR8,57488
ESYT3,A0FGR9,83850
TRAV38-2DV8,A0JD32,28643
TRDV2,A0JD36,28517
TRDV3,A0JD37,28516
MED19,A0JLT2,219541
UHRF1BP1L,A0JNW5,23074
POTEB3,A0JP26,102724631
IGLC7,A0M8Q6,28834
SHTN1,A0MZ66,57698
PLSCR5,A0PG75,389158
DHRS12,A0PJE2,79758
SLC5A10,A0PJK1,125206
TMEM223,A0PJW6,79064
DAPL1,A0PJW8,92196
CIB4,A0PJX0,130106
TLDC2,A0PJX2,140711
SHISA3,A0PJX4,152573
TMEM82,A0PJX8,388595
FEZF1,A0PJY2,389549
ANKRD20A5P,A0PJZ0,440482
GXYLT2,A0PJZ3,727936
TMEM120B,A0PK00,144404
TMEM72,A0PK05,643236
CLRN2,A0PK11,645104
TMEM30CP,A0ZSE6,644444
SLC66A1L,A1A4F0,152078
LNP1,A1A4G5,348801
ARHGAP10,A1A4S6,79658
CFAP119,A1A4V9,90835
IRGM,A1A4Y4,345611
FAM170A,A1A519,340069
KRTAP23-1,A1A580,337963
ANO9,A1A5B4,338440
SLC22A23,A1A5C7,63027
BICDL2,A1A5D9,146439
ODAM,A1E959,54959
ARHGEF37,A1IGU5,389337
FAM168B,A1KXE4,130074
PXDNL,A1KZ92,137902
MEX3A,A1L020,92312
ILVBL,A1L0T0,10994
TSPAN11,A1L157,441631
ERICH2,A1L162,285141
UBE2QL1,A1L167,134111
C20orf202,A1L168,400831
C1orf226,A1L170,400793
NDUFAF8,A1L188,284184
SYCE3,A1L190,644186
IGSF23,A1L1A6,147710
PLEKHG3,A1L390,26030
ELOVL7,A1L3X0,79993
MT1DP,A1L3X4,326343
GAGE12B,A1L429,729428
GAGE12C,A1L429,729422
GAGE12D,A1L429,100132399
GAGE12E,A1L429,729431
NUTM2F,A1L443,54754
PRSS38,A1L453,339501
SSC5D,A1L4H1,284297
FSD2,A1L4K1,123722
PLAC8L1,A1L4L8,153770
SH3PXD2B,A1X283,285590
CIBAR1,A1XBS5,137392
ZBTB7C,A1YPR0,201501
MACROD2,A1Z1Q3,140733
ZC3H12D,A2A288,340152
SERTM1,A2A2V5,400120
FRMD3,A2A2Y4,257019
ANKRD18B,A2A2Z9,441459
MAGEB16,A2A368,139604
PTPDC1,A2A3K4,138639
TTC24,A2A3L6,164118
PIPSL,A2A3N6,266971
BCLAF3,A2AJT9,256643
DYTN,A2CJ06,391475
CCDC78,A2IDD5,124093
IGKV2-29,A2NJV5,28920
HFM1,A2PYH4,164045
ZNF320,A2RRD8,162967
WDR27,A2RRH5,253769
TMEM213,A2RRL7,155006
NBAS,A2RRP1,51594
TARS3,A2RTX5,123283
HEATR9,A2RTY3,256957
TMEM218,A2RU14,219854
TESPA1,A2RU30,9840
LINC02872,A2RU37,401535
SMCO3,A2RU48,440087
HYKK,A2RU49,123688
HMX2,A2RU54,3167
FAM234B,A2RU67,57613
MEIOC,A2RUB1,284071
CCDC66,A2RUB6,285331
TYW5,A2RUC4,129450
XKRY2,A2RUG3,353515
MYBPHL,A2RUH7,343263
TMEM132E-DT,A2RUQ5,400591
CCDC144A,A2RUR9,9720
DENND3,A2RUS2,22898
TMEM89,A2RUT3,440955
CLPSL1,A2RUU4,340204
DCDC2B,A2VCK2,149069
FUOM,A2VDF0,282969
TMEM131L,A2VDJ0,23240
SSPOP,A2VEC9,23145
OR2M5,A3KFT3,127059
VWA8,A3KMH1,23078
SBNO1,A3KN83,55206
PRAMEF22,A3QJZ6,653606
PRAMEF27,A3QJZ7,101929983
LAMB4,A4D0S4,22798
SMIM30,A4D0T7,401397
CPED1,A4D0V7,79974
C7orf77,A4D0Y5,154872
CRPPA,A4D126,729920
FAM221A,A4D161,340277
GSAP,A4D1B5,54103
ZNF804B,A4D1E1,219578
GTPBP10,A4D1E9,85865
LRRD1,A4D1F6,401387
WDR91,A4D1P6,29062
KLRG2,A4D1S0,346689
RAB19,A4D1S5,401409
PRSS37,A4D1T9,136242
DENND11,A4D1U4,57189
GRIFIN,A4D1Z8,402635
BLACE,A4D250,338436
CDC14C,A4D256,168448
SPATA48,A4D263,100130988
MBLAC1,A4D2B0,255374
PMS2P1,A4D2B8,5379
OR2A25,A4D2G3,392138
CTAGE15,A4D2H0,441294
GRID2IP,A4D2P6,392862
MTMR11,A4FU01,10903
CTAGE9,A4FU28,643854
SH3D21,A4FU49,79729
EFCAB5,A4FU69,374786
EME2,A4GXA9,197342
SLC35F4,A4IF30,341880
C5orf49,A4QMS7,134121
LINC01553,A4QN01,283025
LRP5L,A4QPB2,91355
PI4KAP2,A4QPH2,375133
XIRP2,A4UGR9,129446
POTEF,A5A3E0,728378
FITM1,A5D6W6,161247
CLEC18A,A5D8T8,348174
VPS37C,A5D8V6,55048
ODAD3,A5D8V7,115948
CFAP69,A5D8W1,79846
PSMB11,A5LHX3,122706
PSD,A5PKW4,5662
KRBA1,A5PL33,84626
RGSL1,A5PLK6,353299
ANKRD34B,A5PLL1,340120
PEDS1,A5PLL7,387521
FAM149A,A5PLN7,25854
TRAPPC13,A5PLN9,80006
HTR3E,A5X5Y0,285242
CNOT1,A5YKK6,23019
ARHGEF35,A5YM69,445328
CARNS1,A5YM72,57571
MEGF11,A6BM72,84465
CDHR4,A6H8M9,389118
BDP1,A6H8Y1,55814
FAM221B,A6H8Z2,392307
C5orf63,A6NC05,401207
DPPA5,A6NC42,340168
TMEM150B,A6NC51,284417
ANKRD62,A6NC57,342850
RBAKDN,A6NC62,389458
GOLGA8IP,A6NC78,283796
PINLYP,A6NC86,390940
FAM172BP,A6NC97,131909
CCDC88B,A6NC98,283234
GOLGA8O,A6NCC3,728047
MAP1LC3B2,A6NCE7,643246
KLHL33,A6NCF5,123103
MAGEA13P,A6NCF6,139363
VWA3A,A6NCI4,146177
LINC00862,A6NCI5,554279
C2orf78,A6NCI8,388960
TEKTIP1,A6NCJ1,100128569
TRIM43B,A6NCK2,653192
GMNC,A6NCL1,647309
LRCOL1,A6NCL2,100507055
ANKRD33B,A6NCL7,651746
IQCA1L,A6NCM1,392843
KRT87P,A6NCN2,85349
TEX52,A6NCN8,101929469
RNF222,A6NCQ9,643904
NKX2-6,A6NCS4,137814
C2orf72,A6NCS6,257407
OR6C74,A6NCV1,254783
USP17L3,A6NCW0,645836
USP17L4,A6NCW7,645402
IZUMO1R,A6ND01,390243
FAM83G,A6ND36,644815
OR14I1,A6ND48,401994
ASPDH,A6ND91,554235
LRIT2,A6NDA9,340745
PALM3,A6NDB9,342979
SYNDIG1L,A6NDD5,646658
RBMY1B,A6NDE4,378948
GAGE12H,A6NDE8,729442
PGP,A6NDG6,283871
OR5H15,A6NDH6,403274
TRIM49B,A6NDI0,283116
GOLGA6C,A6NDK9,653641
METTL21EP,A6NDL7,121952
OR6C68,A6NDL8,403284
GOLGA6B,A6NDN3,55889
MYADML2,A6NDP7,255275
MEIS3P1,A6NDR6,4213
TBC1D3B,A6NDS4,414059
RIMOC1,A6NDU8,285636
TMEM8B,A6NDV4,51754
ZNF840P,A6NDX5,100533646
PABPN1L,A6NDY0,390748
FAM90A10,A6NDY2,441328
MBD3L4,A6NDZ8,653656
FAM186A,A6NE01,121006
BTBD17,A6NE02,388419
FAM90A18,A6NE21,441326
FAM90A19,A6NE21,728753
WDR97,A6NE52,340390
MBD3L3,A6NE82,653657
RCCD1,A6NED2,91433
PLEKHD1,A6NEE1,400224
GOLGA6L4,A6NEF3,643707
TMEM247,A6NEH6,388946
ZNF503-AS2,A6NEH8,100131213
ARRDC5,A6NEK1,645432
SOWAHB,A6NEL2,345079
FAM86C2P,A6NEL3,645332
GOLGA6L9,A6NEM1,440295
CXorf65,A6NEN9,158830
RBMY1E,A6NEQ0,378950
FAM181B,A6NEQ2,220382
TBC1D3F,A6NER0,84218
GAGE12J,A6NER3,729396
MROH2A,A6NES4,339766
OR5K3,A6NET4,403277
PRR23A,A6NEV1,729627
FAM90A16,A6NEW6,441323
FAM90A17,A6NEW6,728746
GOLGA6L3,A6NEY3,100133220
PRORSD1P,A6NEY8,344405
POM121B,A6NF01,100288540
ANTXRL,A6NF34,195977
